id,name,quantity,type_id,waiting_period_id
3838,F304D11,0,10,1
3839,F304D13,0,10,1
3840,F304D14,0,10,1
3841,F304D16,0,10,1
3842,F205B40,0,10,1
3843,F205B45,0,10,1
3844,F205B50,0,10,1
3845,F205B56,0,10,1
3846,F205B63,0,10,1
3847,F205B71,0,10,1
3848,F205B80,0,10,1
3849,F205B90,0,10,1
3850,F205C10,0,10,1
3851,F205C11,0,10,1
3852,F205C13,0,10,1
3853,F205C14,0,10,1
3854,F205C16,0,10,1
3855,F205C18,0,10,1
3856,F305C20,0,10,1
3857,F305C22,0,10,1
3858,F305C25,0,10,1
3859,F305C28,0,10,1
3860,F305C32,0,10,1
3861,F305C36,0,10,1
3862,F305C40,0,10,1
3863,F305C45,0,10,1
3864,F305C50,0,10,1
3865,F305C56,0,10,1
3866,F305C63,0,10,1
3867,F305C71,0,10,1
3868,F305C80,0,10,1
3869,F305C90,0,10,1
3870,F305D10,0,10,1
3871,F305D11,0,10,1
3872,F305D13,0,10,1
3873,F305D14,0,10,1
3874,F206B40,0,10,1
3875,F206B45,0,10,1
3876,F206B50,0,10,1
3877,F206B56,0,10,1
3878,F206B63,0,10,1
3879,F206B71,0,10,1
3880,F206B80,0,10,1
3881,F206B90,0,10,1
3882,F206C10,0,10,1
3883,F206C11,0,10,1
3884,F206C13,0,10,1
3885,F306C14,0,10,1
3886,F306C16,0,10,1
3887,F306C18,0,10,1
3888,F306C20,0,10,1
3889,F306C22,0,10,1
3890,F306C25,0,10,1
3891,F306C28,0,10,1
3892,F306C32,0,10,1
3893,F306C36,0,10,1
3894,F306C40,0,10,1
3895,F306C45,0,10,1
3896,F306C50,0,10,1
3897,F306C56,0,10,1
3898,F306C63,0,10,1
3899,F306C71,0,10,1
3900,F306C80,0,10,1
3901,F306C90,0,10,1
3902,F306D10,0,10,1
3903,F306D11,0,10,1
3904,F306D13,0,10,1
3905,F306D14,0,10,1
3906,F306D16,0,10,1
3907,F306D18,0,10,1
3908,F306D20,0,10,1
3909,F207B40,0,10,1
3910,F207B45,0,10,1
3911,F207B50,0,10,1
3912,F207B56,0,10,1
3913,F207B63,0,10,1
3914,F207B71,0,10,1
3915,F207B80,0,10,1
3916,F207B90,0,10,1
3917,F207C10,0,10,1
3918,F207C11,0,10,1
3919,F207C13,0,10,1
3920,F207C14,0,10,1
3921,F207C16,0,10,1
3922,F207C18,0,10,1
3923,F208B40,0,10,1
3924,F208B45,0,10,1
3925,F208B50,0,10,1
3926,F208B56,0,10,1
3927,F208B63,0,10,1
3928,F208B71,0,10,1
3929,F208B80,0,10,1
3930,F208B90,0,10,1
3931,F208C10,0,10,1
3932,F208C11,0,10,1
3933,F208C13,0,10,1
3934,F208C14,0,10,1
3935,F208C16,0,10,1
3936,F208C18,0,10,1
3937,F208C20,0,10,1
3938,F208C22,0,10,1
3939,F307C20,0,10,1
3940,F307C22,0,10,1
3941,F307C25,0,10,1
3942,F307C28,0,10,1
3943,F307C32,0,10,1
3944,F307C36,0,10,1
3945,F307C40,0,10,1
3946,F307C45,0,10,1
3947,F307C50,0,10,1
3948,F307C56,0,10,1
3949,F307C63,0,10,1
3950,F307C71,0,10,1
3951,F307C80,0,10,1
3952,F307C90,0,10,1
3953,F307D10,0,10,1
3954,F307D11,0,10,1
3955,F307D13,0,10,1
3956,F307D14,0,10,1
3957,F307D16,0,10,1
3958,F307D18,0,10,1
3959,F307D20,0,10,1
3960,F307D22,0,10,1
3961,F307D25,0,10,1
3962,F308C25,0,10,1
3963,F308C28,0,10,1
3964,F308C32,0,10,1
3965,F308C36,0,10,1
3966,F308C40,0,10,1
3967,F308C45,0,10,1
3968,F308C50,0,10,1
3969,F308C56,0,10,1
3970,F308C63,0,10,1
3971,F308C71,0,10,1
3972,F308C80,0,10,1
3973,F308C90,0,10,1
3974,F308D10,0,10,1
3975,F308D11,0,10,1
3976,F308D13,0,10,1
3977,F308D14,0,10,1
3978,F308D16,0,10,1
3979,F308D18,0,10,1
3980,F308D20,0,10,1
3981,F308D22,0,10,1
3982,F308D25,0,10,1
3983,F209B40,0,10,1
3984,F209B45,0,10,1
3985,F209B50,0,10,1
3986,F209B56,0,10,1
3987,F209B63,0,10,1
3988,F209B71,0,10,1
3989,F209B80,0,10,1
3990,F209B90,0,10,1
3991,F209C10,0,10,1
3992,F209C11,0,10,1
3993,F209C13,0,10,1
3994,F209C14,0,10,1
3995,F209C16,0,10,1
3996,F209C18,0,10,1
3997,F209C20,0,10,1
3998,F309C22,0,10,1
3999,F309C25,0,10,1
4000,F309C28,0,10,1
4001,F309C32,0,10,1
4002,F309C36,0,10,1
4003,F309C40,0,10,1
4004,F309C45,0,10,1
4005,F309C50,0,10,1
4006,F309C56,0,10,1
4007,F309C63,0,10,1
4008,F309C71,0,10,1
4009,F309C80,0,10,1
4010,F309C90,0,10,1
4011,F309D10,0,10,1
4012,F309D11,0,10,1
4013,F309D13,0,10,1
4014,F309D14,0,10,1
4015,F309D16,0,10,1
4016,F309D18,0,10,1
4017,F309D20,0,10,1
4018,F309D22,0,10,1
4019,F309D25,0,10,1
4020,F210B50,0,10,1
4021,F210B56,0,10,1
4022,F210B63,0,10,1
4023,F210B71,0,10,1
4024,F210B80,0,10,1
4025,F210B90,0,10,1
4026,F210C10,0,10,1
4027,F210C11,0,10,1
4028,F210C13,0,10,1
4029,F210C14,0,10,1
4030,F210C16,0,10,1
4031,F210C18,0,10,1
4032,F210C20,0,10,1
