id,gear_size_id,ratio_code_id,ex_ratio,t2n,p1n,gear_efficiency_id,item_name
1947,46,56,58.700000000000000000000000000000,8200.000000000000000000000000000000,21.200000000000000000000000000000,30,C313C56
1948,46,63,65.100000000000000000000000000000,8200.000000000000000000000000000000,19.100000000000000000000000000000,30,C313C63
1949,46,71,69.000000000000000000000000000000,8000.000000000000000000000000000000,17.600000000000000000000000000000,30,C313C71
1950,46,80,78.500000000000000000000000000000,8000.000000000000000000000000000000,15.500000000000000000000000000000,30,C313C80
1951,46,90,87.800000000000000000000000000000,8000.000000000000000000000000000000,13.800000000000000000000000000000,30,C313C90
1952,46,100,97.500000000000000000000000000000,8000.000000000000000000000000000000,12.500000000000000000000000000000,30,C313D10
1953,46,112,114.100000000000000000000000000000,8200.000000000000000000000000000000,10.900000000000000000000000000000,30,C313D11
1954,46,125,122.700000000000000000000000000000,8200.000000000000000000000000000000,10.100000000000000000000000000000,30,C313D13
1955,46,140,137.900000000000000000000000000000,8200.000000000000000000000000000000,9.000000000000000000000000000000,30,C313D14
1956,46,160,158.700000000000000000000000000000,8200.000000000000000000000000000000,7.800000000000000000000000000000,30,C313D16
1957,46,180,176.600000000000000000000000000000,8200.000000000000000000000000000000,7.100000000000000000000000000000,30,C313D18
1958,46,200,207.700000000000000000000000000000,8200.000000000000000000000000000000,6.000000000000000000000000000000,30,C313D20
1959,46,224,225.400000000000000000000000000000,8200.000000000000000000000000000000,5.500000000000000000000000000000,30,C313D22
1960,76,4,4.000000000000000000000000000000,10000.000000000000000000000000000000,380.000000000000000000000000000000,20,C214B40
1961,76,405,4.470000000000000000000000000000,10000.000000000000000000000000000000,340.000000000000000000000000000000,20,C214B45
1962,76,5,4.970000000000000000000000000000,10000.000000000000000000000000000000,305.000000000000000000000000000000,20,C214B50
1963,76,506,5.600000000000000000000000000000,10000.000000000000000000000000000000,271.000000000000000000000000000000,20,C214B56
1964,76,6,6.450000000000000000000000000000,10000.000000000000000000000000000000,235.000000000000000000000000000000,20,C214B63
1965,76,7,7.120000000000000000000000000000,10000.000000000000000000000000000000,213.000000000000000000000000000000,20,C214B71
1966,76,8,7.890000000000000000000000000000,13000.000000000000000000000000000000,250.000000000000000000000000000000,20,C214B80
1967,76,9,8.740000000000000000000000000000,13000.000000000000000000000000000000,226.000000000000000000000000000000,20,C214B90
1968,76,10,9.770000000000000000000000000000,13000.000000000000000000000000000000,202.000000000000000000000000000000,20,C214C10
1969,76,11,10.900000000000000000000000000000,13000.000000000000000000000000000000,182.000000000000000000000000000000,20,C214C11
1970,76,12,12.200000000000000000000000000000,13000.000000000000000000000000000000,161.000000000000000000000000000000,20,C214C13
1971,76,14,14.100000000000000000000000000000,13000.000000000000000000000000000000,140.000000000000000000000000000000,20,C214C14
1972,76,16,15.600000000000000000000000000000,13000.000000000000000000000000000000,127.000000000000000000000000000000,20,C214C16
1973,76,18,17.300000000000000000000000000000,13000.000000000000000000000000000000,114.000000000000000000000000000000,20,C214C18
1974,76,20,19.200000000000000000000000000000,13000.000000000000000000000000000000,103.000000000000000000000000000000,20,C214C20
1975,76,22,21.800000000000000000000000000000,13000.000000000000000000000000000000,91.000000000000000000000000000000,20,C214C22
1976,76,25,24.200000000000000000000000000000,13000.000000000000000000000000000000,82.000000000000000000000000000000,20,C214C25
1977,48,28,29.500000000000000000000000000000,13000.000000000000000000000000000000,67.000000000000000000000000000000,30,C314C28
1978,48,31,32.700000000000000000000000000000,14000.000000000000000000000000000000,65.000000000000000000000000000000,30,C314C32
1979,48,35,36.500000000000000000000000000000,14000.000000000000000000000000000000,58.000000000000000000000000000000,30,C314C36
1980,48,40,40.300000000000000000000000000000,14000.000000000000000000000000000000,53.000000000000000000000000000000,30,C314C40
1981,48,45,43.700000000000000000000000000000,14000.000000000000000000000000000000,48.600000000000000000000000000000,30,C314C45
1982,48,50,50.300000000000000000000000000000,14000.000000000000000000000000000000,42.300000000000000000000000000000,30,C314C50
1983,48,56,55.300000000000000000000000000000,14000.000000000000000000000000000000,38.400000000000000000000000000000,30,C314C56
1984,48,63,64.500000000000000000000000000000,14000.000000000000000000000000000000,33.000000000000000000000000000000,30,C314C63
1985,48,71,71.600000000000000000000000000000,14000.000000000000000000000000000000,29.700000000000000000000000000000,30,C314C71
1986,48,80,79.800000000000000000000000000000,14000.000000000000000000000000000000,26.600000000000000000000000000000,30,C314C80
1987,48,90,88.100000000000000000000000000000,13500.000000000000000000000000000000,23.300000000000000000000000000000,30,C314C90
1988,48,100,95.600000000000000000000000000000,13500.000000000000000000000000000000,21.400000000000000000000000000000,30,C314D10
1989,48,112,109.900000000000000000000000000000,13500.000000000000000000000000000000,18.600000000000000000000000000000,30,C314D11
1990,48,125,124.500000000000000000000000000000,13500.000000000000000000000000000000,16.500000000000000000000000000000,30,C314D13
1991,48,140,138.600000000000000000000000000000,13500.000000000000000000000000000000,14.800000000000000000000000000000,30,C314D14
1992,48,160,153.400000000000000000000000000000,13500.000000000000000000000000000000,13.400000000000000000000000000000,30,C314D16
1993,48,180,179.100000000000000000000000000000,13500.000000000000000000000000000000,11.400000000000000000000000000000,30,C314D18
1994,48,200,190.000000000000000000000000000000,13500.000000000000000000000000000000,10.800000000000000000000000000000,30,C314D20
1995,48,224,215.500000000000000000000000000000,14000.000000000000000000000000000000,9.900000000000000000000000000000,30,C314D22
1996,48,250,245.900000000000000000000000000000,14000.000000000000000000000000000000,8.600000000000000000000000000000,30,C314D25
1997,48,280,276.700000000000000000000000000000,14000.000000000000000000000000000000,7.700000000000000000000000000000,30,C314D28
1998,50,28,27.200000000000000000000000000000,18000.000000000000000000000000000000,100.000000000000000000000000000000,30,C316C28
1999,50,31,30.300000000000000000000000000000,18000.000000000000000000000000000000,90.000000000000000000000000000000,30,C316C32
2000,50,35,34.200000000000000000000000000000,18000.000000000000000000000000000000,80.000000000000000000000000000000,30,C316C36
2001,50,40,39.400000000000000000000000000000,18000.000000000000000000000000000000,69.000000000000000000000000000000,30,C316C40
2002,50,45,43.400000000000000000000000000000,18000.000000000000000000000000000000,63.000000000000000000000000000000,30,C316C45
2003,50,50,48.100000000000000000000000000000,18000.000000000000000000000000000000,57.000000000000000000000000000000,30,C316C50
2004,50,56,53.500000000000000000000000000000,18000.000000000000000000000000000000,51.000000000000000000000000000000,30,C316C56
2005,50,63,60.800000000000000000000000000000,18000.000000000000000000000000000000,45.000000000000000000000000000000,30,C316C63
